status,product_area,response,justification,request_type
replied,hackerrank/assessment,Thank you for reaching out. We could not find enough matching documentation to provide a precise answer. Please contact the official support site for your platform for further assistance.,Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,unknown/general,Thank you for reaching out. We could not find enough matching documentation to provide a precise answer. Please contact the official support site for your platform for further assistance.,Ticket routed as 'replied' based on unknown corpus coverage and escalation policy.,product_issue
replied,hackerrank/assessment,"Based on the support documentation: to administer the product and gather rich insights, empowering organizations to better structure their user management. Admins can assign the manager role to any user, providing greater flexibility and control, while managers' access is limited to their team members and their reports, ensuring data security and focused oversight. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/assessment,Thank you for reaching out. We could not find enough matching documentation to provide a precise answer. Please contact the official support site for your platform for further assistance.,Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/account,"Based on the support documentation: --- title: ""Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account"" title_slug: ""manage-account-faqs-account-sign-in-update-or-reset-password-merge-multiple-hackerrank-accounts-delete-an-account"" source_url: ""https://help.hackerrank.com/articles/1917106962-manage-account-faqs"" article_slug: ""1917106962-manage-account-faqs"" last_updated_exact: ""Mar 12, 2026, 2:21 PM"" last_updated_relative: ""Last updated 1 month ago"" breadcrumbs: - ""Account Settings"" - ""Manage Account"" --- # Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account _Last updated: Mar 12, 2026, 2:21 PM (Last updated 1 month ago)_ # Account sign-in **What happens to Google Auth sign-in if my company email domain changes?** If your company changes its email domain, create a new HackerRank account using your new company email. Then, merge your existing account with the new one and set the new account as your primary login. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
escalated,claude/privacy_data,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on claude corpus coverage and escalation policy.,product_issue
replied,unknown/general,"Based on the support documentation: --- title: ""Choosing a Claude plan"" title_slug: ""choosing-a-claude-plan"" source_url: ""https://support.claude.com/en/articles/11049762-choosing-a-claude-plan"" last_updated_iso: ""2026-03-16T21:01:49Z"" article_id: ""11891354"" breadcrumbs: - ""Claude"" - ""Get started with Claude"" --- # Choosing a Claude plan _Last updated: 2026-03-16T21:01:49Z_ Use the following guide to determine which plan is right for you. The plans listed above are intended for individual users.",Ticket routed as 'replied' based on unknown corpus coverage and escalation policy.,product_issue
escalated,visa/fraud_disputes,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
escalated,visa/fraud_disputes,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
replied,unknown/general,"Based on the support documentation: Find any events titled “Annual Gala” and show me the details including attendance and funds raised. ``` **When to use:** Planning future events, comparing year-over-year performance, or researching past fundraising activities.",Ticket routed as 'replied' based on unknown corpus coverage and escalation policy.,product_issue
