status,product_area,response,justification,request_type
escalated,claude/billing_plans,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on claude corpus coverage and escalation policy.,product_issue
escalated,hackerrank/assessment,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on hackerrank corpus coverage and escalation policy.,product_issue
escalated,visa/card_services,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
replied,hackerrank/general,"Based on the support documentation: --- title: ""Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans"" title_slug: ""subscriptions-payments-and-billing-faqs-mock-interviews-subscription-plans"" source_url: ""https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs"" article_slug: ""9157064719-payments-and-billing-faqs"" last_updated_exact: ""Nov 12, 2025, 4:42 PM"" last_updated_relative: ""Last updated 5 months ago"" breadcrumbs: - ""Subscriptions, Payments, and Billing"" --- # Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans _Last updated: Nov 12, 2025, 4:42 PM (Last updated 5 months ago)_ # Mock interviews **What happens to my mock interview credits if I merge accounts?** Mock interview credits cannot be transferred and stay on the account where they were purchased. We recommend using them before merging accounts. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,bug
escalated,hackerrank/billing,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on hackerrank corpus coverage and escalation policy.,bug
replied,hackerrank/general,"Based on the support documentation: data, or activity data derived from HackerRank business customers. HackerRank does not use customer data, candidate activities, user submissions, or platform interactions from HackerRank for Work assessments, coding challenges, interviews, or any other customer-associated activities for AI model training. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/general,"Based on the support documentation: --- title: ""Set Up HackerRank QuickApply"" title_slug: ""set-up-hackerrank-quickapply"" source_url: ""https://help.hackerrank.com/articles/7358354033-set-up-quick-apply"" article_slug: ""7358354033-set-up-quick-apply"" last_updated_exact: ""Mar 10, 2025, 12:59 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Additional Resources"" - ""Job Search and Applications"" --- # Set Up HackerRank QuickApply _Last updated: Mar 10, 2025, 12:59 PM (Last updated 1 year ago)_ HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile. QuickApply extracts key details from your HackerRank profile, such as personal information, work experience, education, and skills, to populate job application forms automatically. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,bug
replied,hackerrank/assessment,"Based on the support documentation: ( Reviewer can view the lines of code copy-pasted by the candidate ). - For more information about downloading an excel report, check out the [Downloading PDF and Excel Test Reports](https://support.hackerrank.com/hc/en-us/articles/360012776753-Downloading-PDF-and-Excel-Test-Reports) article. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/assessment,"Based on the support documentation: --- title: ""Changing the Account Email"" title_slug: ""changing-the-account-email"" source_url: ""https://support.hackerrank.com/articles/9181791010-changing-the-account-email"" article_slug: ""9181791010-changing-the-account-email"" last_updated_exact: ""Dec 13, 2024, 5:06 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Settings"" - ""User Account Settings and Preferences"" --- # Changing the Account Email _Last updated: Dec 13, 2024, 5:06 AM (Last updated 1 year ago)_ It is not possible for a user to change their account email. However, you can email support@hackerrank.com from the account that you want to change to request the primary email change. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,bug
replied,hackerrank/assessment,"Based on the support documentation: Count | Total number of times the user has signed in. | | Last Active At | Date and time when the user was last active. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/assessment,"Based on the support documentation: The Prime Assessments are now sent to the candidate. An email is sent to the candidate's account. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,unknown/general,Based on the support documentation: Go to[ ](https://claude.ai/settings/integrations)claude.ai/settings/connectors 2. Find **Slack** in your list of Connectors.,Ticket routed as 'replied' based on unknown corpus coverage and escalation policy.,bug
replied,hackerrank/general,"Based on the support documentation: ownership transfer, the role of the previous owner changes to **Editor**. # Removing access from a question You can revoke **Viewer** or **Editor** access to a question for another team member at any time. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
